comunidad,provincia,year,Tipo,numero,Textbox6,Textbox7,numero1
Andalucía,Almería,2011,Nº de accidentes con víctimas,754,Subtotal Andalucía,11.629,83.027
Andalucía,Almería,2011,Víctimas mortales,35,Subtotal Andalucía,327,2.060
Andalucía,Almería,2011,Heridos hospitalizados,213,Subtotal Andalucía,1.864,11.347
Andalucía,Almería,2011,Total víctimas,1.290,Subtotal Andalucía,17.694,117.687
Andalucía,Almería,2012,Nº de accidentes con víctimas,850,Subtotal Andalucía,11.648,83.115
Andalucía,Almería,2012,Víctimas mortales,38,Subtotal Andalucía,295,1.903
Andalucía,Almería,2012,Heridos hospitalizados,170,Subtotal Andalucía,1.553,10.444
Andalucía,Almería,2012,Total víctimas,1.467,Subtotal Andalucía,17.790,117.793
Andalucía,Almería,2013,Nº de accidentes con víctimas,788,Subtotal Andalucía,13.944,89.519
Andalucía,Almería,2013,Víctimas mortales,30,Subtotal Andalucía,283,1.680
Andalucía,Almería,2013,Heridos hospitalizados,121,Subtotal Andalucía,1.615,10.086
Andalucía,Almería,2013,Total víctimas,1.321,Subtotal Andalucía,20.940,126.400
Andalucía,Almería,2014,Nº de accidentes con víctimas,691,Subtotal Andalucía,14.809,91.570
Andalucía,Almería,2014,Víctimas mortales,19,Subtotal Andalucía,287,1.688
Andalucía,Almería,2014,Heridos hospitalizados,94,Subtotal Andalucía,1.345,9.574
Andalucía,Almería,2014,Total víctimas,1.096,Subtotal Andalucía,22.058,128.320
Andalucía,Almería,2015,Nº de accidentes con víctimas,733,Subtotal Andalucía,16.184,97.756
Andalucía,Almería,2015,Víctimas mortales,26,Subtotal Andalucía,262,1.689
Andalucía,Almería,2015,Heridos hospitalizados,111,Subtotal Andalucía,1.281,9.495
Andalucía,Almería,2015,Total víctimas,1.195,Subtotal Andalucía,24.159,136.144
Andalucía,Almería,2016,Nº de accidentes con víctimas,713,Subtotal Andalucía,15.577,102.362
Andalucía,Almería,2016,Víctimas mortales,40,Subtotal Andalucía,303,1.810
Andalucía,Almería,2016,Heridos hospitalizados,108,Subtotal Andalucía,1.453,9.755
Andalucía,Almería,2016,Total víctimas,1.175,Subtotal Andalucía,23.291,142.200
Andalucía,Almería,2017,Nº de accidentes con víctimas,1.190,Subtotal Andalucía,15.386,102.233
Andalucía,Almería,2017,Víctimas mortales,22,Subtotal Andalucía,305,1.830
Andalucía,Almería,2017,Heridos hospitalizados,137,Subtotal Andalucía,1.372,9.546
Andalucía,Almería,2017,Total víctimas,1.904,Subtotal Andalucía,22.608,140.992
Andalucía,Almería,2018,Nº de accidentes con víctimas,1.194,Subtotal Andalucía,16.811,102.299
Andalucía,Almería,2018,Víctimas mortales,27,Subtotal Andalucía,274,1.806
Andalucía,Almería,2018,Heridos hospitalizados,111,Subtotal Andalucía,1.284,8.935
Andalucía,Almería,2018,Total víctimas,1.918,Subtotal Andalucía,24.474,140.415
Andalucía,Almería,2019,Nº de accidentes con víctimas,1.092,Subtotal Andalucía,17.964,104.080
Andalucía,Almería,2019,Víctimas mortales,35,Subtotal Andalucía,304,1.755
Andalucía,Almería,2019,Heridos hospitalizados,109,Subtotal Andalucía,1.348,8.613
Andalucía,Almería,2019,Total víctimas,1.647,Subtotal Andalucía,25.575,141.113
Andalucía,Almería,2020,Nº de accidentes con víctimas,861,Subtotal Andalucía,12.792,72.959
Andalucía,Almería,2020,Víctimas mortales,38,Subtotal Andalucía,254,1.370
Andalucía,Almería,2020,Heridos hospitalizados,92,Subtotal Andalucía,1.139,6.681
Andalucía,Almería,2020,Total víctimas,1.242,Subtotal Andalucía,17.710,95.932
Andalucía,Almería,2021,Nº de accidentes con víctimas,696,Subtotal Andalucía,15.472,89.862
Andalucía,Almería,2021,Víctimas mortales,34,Subtotal Andalucía,302,1.533
Andalucía,Almería,2021,Heridos hospitalizados,80,Subtotal Andalucía,1.175,7.784
Andalucía,Almería,2021,Total víctimas,1.082,Subtotal Andalucía,21.880,119.695
Andalucía,Almería,2022,Nº de accidentes con víctimas,1.205,Subtotal Andalucía,16.696,97.916
Andalucía,Almería,2022,Víctimas mortales,41,Subtotal Andalucía,333,1.746
Andalucía,Almería,2022,Heridos hospitalizados,119,Subtotal Andalucía,1.218,8.502
Andalucía,Almería,2022,Total víctimas,1.719,Subtotal Andalucía,23.308,129.576
Andalucía,Cádiz,2011,Nº de accidentes con víctimas,2.474,Subtotal Andalucía,11.629,83.027
Andalucía,Cádiz,2011,Víctimas mortales,33,Subtotal Andalucía,327,2.060
Andalucía,Cádiz,2011,Heridos hospitalizados,275,Subtotal Andalucía,1.864,11.347
Andalucía,Cádiz,2011,Total víctimas,3.913,Subtotal Andalucía,17.694,117.687
Andalucía,Cádiz,2012,Nº de accidentes con víctimas,2.261,Subtotal Andalucía,11.648,83.115
Andalucía,Cádiz,2012,Víctimas mortales,37,Subtotal Andalucía,295,1.903
Andalucía,Cádiz,2012,Heridos hospitalizados,218,Subtotal Andalucía,1.553,10.444
Andalucía,Cádiz,2012,Total víctimas,3.527,Subtotal Andalucía,17.790,117.793
Andalucía,Cádiz,2013,Nº de accidentes con víctimas,2.318,Subtotal Andalucía,13.944,89.519
Andalucía,Cádiz,2013,Víctimas mortales,37,Subtotal Andalucía,283,1.680
Andalucía,Cádiz,2013,Heridos hospitalizados,217,Subtotal Andalucía,1.615,10.086
Andalucía,Cádiz,2013,Total víctimas,3.576,Subtotal Andalucía,20.940,126.400
Andalucía,Cádiz,2014,Nº de accidentes con víctimas,2.709,Subtotal Andalucía,14.809,91.570
Andalucía,Cádiz,2014,Víctimas mortales,41,Subtotal Andalucía,287,1.688
Andalucía,Cádiz,2014,Heridos hospitalizados,202,Subtotal Andalucía,1.345,9.574
Andalucía,Cádiz,2014,Total víctimas,4.217,Subtotal Andalucía,22.058,128.320
Andalucía,Cádiz,2015,Nº de accidentes con víctimas,3.080,Subtotal Andalucía,16.184,97.756
Andalucía,Cádiz,2015,Víctimas mortales,32,Subtotal Andalucía,262,1.689
Andalucía,Cádiz,2015,Heridos hospitalizados,229,Subtotal Andalucía,1.281,9.495
Andalucía,Cádiz,2015,Total víctimas,4.705,Subtotal Andalucía,24.159,136.144
Andalucía,Cádiz,2016,Nº de accidentes con víctimas,2.757,Subtotal Andalucía,15.577,102.362
Andalucía,Cádiz,2016,Víctimas mortales,41,Subtotal Andalucía,303,1.810
Andalucía,Cádiz,2016,Heridos hospitalizados,211,Subtotal Andalucía,1.453,9.755
Andalucía,Cádiz,2016,Total víctimas,4.194,Subtotal Andalucía,23.291,142.200
Andalucía,Cádiz,2017,Nº de accidentes con víctimas,2.869,Subtotal Andalucía,15.386,102.233
Andalucía,Cádiz,2017,Víctimas mortales,34,Subtotal Andalucía,305,1.830
Andalucía,Cádiz,2017,Heridos hospitalizados,224,Subtotal Andalucía,1.372,9.546
Andalucía,Cádiz,2017,Total víctimas,4.207,Subtotal Andalucía,22.608,140.992
Andalucía,Cádiz,2018,Nº de accidentes con víctimas,2.556,Subtotal Andalucía,16.811,102.299
Andalucía,Cádiz,2018,Víctimas mortales,36,Subtotal Andalucía,274,1.806
Andalucía,Cádiz,2018,Heridos hospitalizados,206,Subtotal Andalucía,1.284,8.935
Andalucía,Cádiz,2018,Total víctimas,3.718,Subtotal Andalucía,24.474,140.415
Andalucía,Cádiz,2019,Nº de accidentes con víctimas,2.765,Subtotal Andalucía,17.964,104.080
Andalucía,Cádiz,2019,Víctimas mortales,36,Subtotal Andalucía,304,1.755
Andalucía,Cádiz,2019,Heridos hospitalizados,226,Subtotal Andalucía,1.348,8.613
Andalucía,Cádiz,2019,Total víctimas,3.947,Subtotal Andalucía,25.575,141.113
Andalucía,Cádiz,2020,Nº de accidentes con víctimas,2.125,Subtotal Andalucía,12.792,72.959
Andalucía,Cádiz,2020,Víctimas mortales,22,Subtotal Andalucía,254,1.370
Andalucía,Cádiz,2020,Heridos hospitalizados,203,Subtotal Andalucía,1.139,6.681
Andalucía,Cádiz,2020,Total víctimas,3.032,Subtotal Andalucía,17.710,95.932
Andalucía,Cádiz,2021,Nº de accidentes con víctimas,2.463,Subtotal Andalucía,15.472,89.862
Andalucía,Cádiz,2021,Víctimas mortales,41,Subtotal Andalucía,302,1.533
Andalucía,Cádiz,2021,Heridos hospitalizados,199,Subtotal Andalucía,1.175,7.784
Andalucía,Cádiz,2021,Total víctimas,3.482,Subtotal Andalucía,21.880,119.695
Andalucía,Cádiz,2022,Nº de accidentes con víctimas,2.629,Subtotal Andalucía,16.696,97.916
Andalucía,Cádiz,2022,Víctimas mortales,40,Subtotal Andalucía,333,1.746
Andalucía,Cádiz,2022,Heridos hospitalizados,204,Subtotal Andalucía,1.218,8.502
Andalucía,Cádiz,2022,Total víctimas,3.679,Subtotal Andalucía,23.308,129.576
Andalucía,Córdoba,2011,Nº de accidentes con víctimas,1.138,Subtotal Andalucía,11.629,83.027
Andalucía,Córdoba,2011,Víctimas mortales,36,Subtotal Andalucía,327,2.060
Andalucía,Córdoba,2011,Heridos hospitalizados,219,Subtotal Andalucía,1.864,11.347
Andalucía,Córdoba,2011,Total víctimas,1.646,Subtotal Andalucía,17.694,117.687
Andalucía,Córdoba,2012,Nº de accidentes con víctimas,1.144,Subtotal Andalucía,11.648,83.115
Andalucía,Córdoba,2012,Víctimas mortales,41,Subtotal Andalucía,295,1.903
Andalucía,Córdoba,2012,Heridos hospitalizados,202,Subtotal Andalucía,1.553,10.444
Andalucía,Córdoba,2012,Total víctimas,1.647,Subtotal Andalucía,17.790,117.793
Andalucía,Córdoba,2013,Nº de accidentes con víctimas,1.323,Subtotal Andalucía,13.944,89.519
Andalucía,Córdoba,2013,Víctimas mortales,36,Subtotal Andalucía,283,1.680
Andalucía,Córdoba,2013,Heridos hospitalizados,199,Subtotal Andalucía,1.615,10.086
Andalucía,Córdoba,2013,Total víctimas,1.915,Subtotal Andalucía,20.940,126.400
Andalucía,Córdoba,2014,Nº de accidentes con víctimas,1.418,Subtotal Andalucía,14.809,91.570
Andalucía,Córdoba,2014,Víctimas mortales,37,Subtotal Andalucía,287,1.688
Andalucía,Córdoba,2014,Heridos hospitalizados,151,Subtotal Andalucía,1.345,9.574
Andalucía,Córdoba,2014,Total víctimas,1.997,Subtotal Andalucía,22.058,128.320
Andalucía,Córdoba,2015,Nº de accidentes con víctimas,1.491,Subtotal Andalucía,16.184,97.756
Andalucía,Córdoba,2015,Víctimas mortales,26,Subtotal Andalucía,262,1.689
Andalucía,Córdoba,2015,Heridos hospitalizados,118,Subtotal Andalucía,1.281,9.495
Andalucía,Córdoba,2015,Total víctimas,2.069,Subtotal Andalucía,24.159,136.144
Andalucía,Córdoba,2016,Nº de accidentes con víctimas,1.359,Subtotal Andalucía,15.577,102.362
Andalucía,Córdoba,2016,Víctimas mortales,22,Subtotal Andalucía,303,1.810
Andalucía,Córdoba,2016,Heridos hospitalizados,151,Subtotal Andalucía,1.453,9.755
Andalucía,Córdoba,2016,Total víctimas,1.961,Subtotal Andalucía,23.291,142.200
Andalucía,Córdoba,2017,Nº de accidentes con víctimas,1.170,Subtotal Andalucía,15.386,102.233
Andalucía,Córdoba,2017,Víctimas mortales,37,Subtotal Andalucía,305,1.830
Andalucía,Córdoba,2017,Heridos hospitalizados,115,Subtotal Andalucía,1.372,9.546
Andalucía,Córdoba,2017,Total víctimas,1.641,Subtotal Andalucía,22.608,140.992
Andalucía,Córdoba,2018,Nº de accidentes con víctimas,1.077,Subtotal Andalucía,16.811,102.299
Andalucía,Córdoba,2018,Víctimas mortales,34,Subtotal Andalucía,274,1.806
Andalucía,Córdoba,2018,Heridos hospitalizados,122,Subtotal Andalucía,1.284,8.935
Andalucía,Córdoba,2018,Total víctimas,1.576,Subtotal Andalucía,24.474,140.415
