Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,anto0601,1968,36,2205,,
2,,abhishek_sonu,1935,32,2193,,
3,,UnknownChampion2,2000,30,2111,,
4,,lilianx11,1938,29,2108,,
5,,Astrologist,1830,27,1885,,
6,,RoiEnPassant,1908,26,2169,,
7,,Daddy_o37,1849,26,1878,,
8,,deniz0gun7,1889,24,2113,,
9,,WCephei,2005,24,2100,,
10,,bishnoi_bishop,1530,24,1929,,
11,,JgmPioneros,1963,22,2067,,
12,,Sianturi,1988,22,2055,,
13,,pedidep,1845,22,2052,,
14,,Alessio_Malavolta,1833,22,1882,,
15,,pyserial,1828,22,1829,,
16,,SHAMANTHRM,1898,21,1957,,
17,,nureinhow,1896,20,2045,,
18,,Sertao23,1865,20,1947,,
19,,jryf_6,1964,20,1933,,
20,,Athmayogi,1851,20,1870,,
21,,SAMROTIZ352,1955,19,1930,,
22,,Yota8,1861,18,2255,,
23,,Ak_thegrandmaster,1899,18,2044,,
24,,bulletmaster00,1760,18,1966,,
25,,Rita025,1845,18,1951,,
26,,Batkoskiib,1748,18,1893,,
27,,sebiche808,1690,18,1880,,
28,,PaulShift,1766,18,1734,,
29,,AitenovRustambcc,1883,17,1733,,
30,,Cibriliemin,1810,16,2099,,
31,,tamponkafa68,1900,16,2059,,
32,,venkat1991,1844,16,1985,,
33,,Maksimlyutyy,1863,16,1981,,
34,,capitanoblunderino69,1814,16,1765,,
35,,mikel_Carles2300,1719,16,1723,,
36,,PSV_77,1905,16,1673,,
37,,Bogdan_43,1745,16,1667,,
38,,chr12r,1649,16,1620,,
39,,Vyceroy,1919,15,1844,,
40,,ss_kong,1672,15,1837,,
41,,skd2000,1890,15,1753,,
42,,Matviy2017,1878,14,2065,,
43,,janice01,1887,14,1906,,
44,,originalRasputin,1877,14,1896,,
45,,voldemort61,1939,14,1893,,
46,,magomedzaid,1793,14,1819,,
47,,Zalakain2020,1842,14,1789,,
48,,Leochessmaster,1791,14,1711,,
49,,Vasilis211,1884,13,1965,,
50,,recursiveOF,1891,12,2095,,
51,,prosinti,1891,12,2028,,
52,,LeeNguyen205,1772,12,2007,,
53,,NeilIvanSantos,1946,12,1933,,
54,,Man_ish,1732,12,1925,,
55,,Harvie18,1889,12,1882,,
56,,nscatt,1601,12,1815,,
57,,Shahilsz,1746,12,1789,,
58,,Santistokfish,1694,12,1765,,
