Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Lagoyda,1930,38,2253,,
2,,vlad6599,1988,34,2288,,
3,,BoraAAli,1994,33,2216,,
4,,JgmPioneros,1953,31,2094,,
5,,AV90,1868,28,2272,,
6,,wizzard76,1927,26,2129,,
7,,helter-skelter,1929,24,2215,,
8,,Gautamsharma,1919,22,2108,,
9,,Iancuan,1933,22,1955,,
10,,guad27,1850,22,1771,,
11,,dcheel,1892,21,1998,,
12,,Batkoskiib,1808,20,2037,,
13,,Tsrimov,1951,20,2035,,
14,,NewHorizont,1533,20,1943,,
15,,Gradik70,1919,20,1890,,
16,,PSV_77,1875,19,1843,,
17,,Amordejokker,1831,18,2104,,
18,,antoniobo62,1990,18,2089,,
19,,Kokolokoko,1899,18,1959,,
20,,Dikinoff,1820,18,1956,,
21,,masterpiece1204,1947,18,1916,,
22,,Bss12,1830,18,1916,,
23,,Joe123454321,1901,18,1899,,
24,,Nikolai92,1881,17,1943,,
25,,MarkoKarol,1813,17,1823,,
26,,Noe2015,1842,16,2136,,
27,,Snape_1,1885,16,2113,,
28,,SP_from_Bronnitcy,1934,16,1979,,
29,,osmvhnte,1757,16,1866,,
30,,lilianx11,1926,16,1840,,
31,,MKmojster,1705,16,1823,,
32,,RashidKatana,1900,15,1884,,
33,,corpuscollossus,1835,15,1830,,
34,,kestrel2top,1656,14,1841,,
35,,AreYouReadyy,1990,14,1805,,
36,,mehter1980,1853,14,1777,,
37,,F3RNANDOCORR3A,1657,14,1666,,
38,,Mancon777,1928,13,1829,,
39,,mauregi,1916,12,2215,,
40,,Player_457,1922,12,2065,,
41,,andra43,1674,12,1989,,
42,,H29318,1940,12,1979,,
43,,pjv2020,1990,12,1970,,
44,,deniz0gun7,1859,12,1942,,
45,,mathews_99,1823,12,1838,,
46,,Decul,1823,12,1813,,
47,,kenota,1768,12,1787,,
48,,SOPHIAANTIPOLIS,1822,12,1782,,
49,,Lluispare,1692,12,1637,,
50,,Zver_mudrec,1833,11,1854,,
51,,Roland79,1816,11,1756,,
52,,CuriousThrush,1786,11,1708,,
53,,DrTaktykterstein,1951,10,1993,,
