Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Fje77,1924,34,2189,,
2,,sittner24,1848,30,2194,,
3,,PSV_77,1963,29,2218,,
4,,ehan255248,1907,26,2070,,
5,,kenota,1766,26,1890,,
6,,heimar123,1929,25,2176,,
7,,ruslanshev,1971,25,2147,,
8,,winorgetlost,1861,24,2157,,
9,,Sampa22,1968,24,2155,,
10,,Shubham_447,1891,23,2017,,
11,,Shakhriyor0925,1714,22,2013,,
12,,The_Last_FireLord,1943,22,2000,,
13,,PaulShift,1784,22,1935,,
14,,Aleksios26,1894,22,1862,,
15,,jryf_6,1998,20,2118,,
16,,JoshieG14,1764,20,2012,,
17,,Kecik2,1975,20,1961,,
18,,fozdil_11,1761,20,1922,,
19,,LipholoRorisang,1941,19,2088,,
20,,skd2000,1942,19,2035,,
21,,batuhanacaar,1871,18,2163,,
22,,KAFTO,1966,18,2030,,
23,,martin_m_b68,1930,18,1966,,
24,,Kokolokoko,1901,18,1953,,
25,,Sertao23,1860,18,1861,,
26,,THABANG_p,2006,16,2135,,
27,,Satnam786,1840,16,2005,,
28,,blackknightpawn,1825,16,2004,,
29,,Lordvoldamalt,1842,16,1909,,
30,,Talvanes,1750,16,1893,,
31,,yaseryasernagib,1874,16,1860,,
32,,NAJS_2024,1783,16,1853,,
33,,nico76899,1870,16,1834,,
34,,ssjul24,1737,16,1833,,
35,,Jeqab,1728,16,1681,,
36,,gooykmine,1381,16,1658,,
37,,Mark_Turanov,1996,14,2063,,
38,,Ak_thegrandmaster,1902,14,1909,,
39,,CutieRabbit,1855,14,1909,,
40,,punisherpawn,1868,14,1888,,
41,,hknbzn26,1626,14,1794,,
42,,PavelAn-83,1817,14,1748,,
43,,mahdiiar_78,1844,14,1724,,
44,,hirusha500,1543,14,1625,,
45,,Anshkankane,1476,14,1480,,
46,,denkisa1234,1972,12,2188,,
47,,TigerChen,1891,12,2090,,
48,,sudoMoe,1839,12,2090,,
49,,Poifiend,1798,12,2012,,
50,,pietropotie23,1927,12,2008,,
51,,ckLeila,1837,12,1975,,
52,,manishk93535,1792,12,1942,,
53,,Medlidande,1824,12,1888,,
54,,lilianx11,1913,12,1883,,
55,,Chessguevera,1674,12,1840,,
56,,Mouniel,1947,12,1831,,
57,,gmperrito,1884,12,1797,,
58,,sajzare,1920,12,1793,,
59,,samer2324,1678,12,1785,,
60,,iankingsley714,1640,12,1750,,
61,,pixepel,1612,12,1653,,
62,,Yeehan123,1716,12,1652,,
63,,marat12131415,1823,12,1617,,
64,,sebiche808,1651,12,1491,,
65,,NZ64,1503,12,1442,,
66,,trovador21,1779,11,1791,,
67,,Nektomianets,1776,10,2059,,
68,,romekfirenze,1809,10,1929,,
69,,AssassinZ1611,1931,10,1911,,
70,,osmvhnte,1738,10,1853,,
71,,Srivatsanlotus,1911,10,1817,,
72,,manojkr,1950,10,1805,,
73,,guad27,1885,10,1794,,
74,,Maks17,1824,10,1761,,
75,,Abhyas,1897,10,1728,,
76,,mogantuzo,1565,10,1727,,
77,,king53,1476,10,1724,,
78,,wise33,1698,10,1723,,
79,,lococabral,1721,10,1719,,
80,,zmv20,1856,10,1718,,
81,,nathands6,1938,10,1698,,
82,,Bob271,1851,10,1646,,
83,,ljubija1958,1818,10,1572,,
84,,Fantasaft,1753,10,1558,,
85,,Dhanvanth_GamerYT,1948,9,1851,,
86,,DublinBikes,1752,9,1729,,
87,,toxicyoxic,1814,9,1609,,
88,,ToughRunner,1286,9,1568,,
89,,andromedian031,1626,8,2208,,
90,,Randhir528,1498,8,2017,,
91,,Karamazov87,1634,8,1917,,
92,,Man_ish,1715,8,1813,,
93,,fast_and_dirty,1857,8,1781,,
94,,TC6788,1518,8,1778,,
95,,ertothenoob,1463,8,1729,,
96,,RORIBA1968,1905,8,1693,,
97,,Kazbek8,1901,8,1686,,
98,,cesar-kam,1707,8,1680,,
99,,GingerViking543,1504,8,1677,,
100,,SAPTester,1700,8,1668,,
101,,Ankabot,1540,8,1635,,
102,,ShaanPlaysChess,1423,8,1593,,
103,,sqwertyu,1598,8,1559,,
104,,Ai-Belek01,1758,8,1549,,
105,,TaherUino,1579,8,1501,,
106,,ManGooseCarSled,1803,8,1501,,
107,,olivier096,1453,8,1495,,
108,,NaitikGupta8,1496,8,1470,,
109,,Morgano76,1626,8,1443,,
110,,Amruta1306rathi,1292,8,1402,,
111,,ustad7777,1344,8,1383,,
112,,Voin_Sveta,1513,7,1478,,
113,,fajar_FIRE,1980,6,1925,,
114,,pedrosousa96,1971,6,1897,,
115,,parth-007,1485,6,1868,,
116,,MohamadTork,1964,6,1809,,
117,,smcdona2,1779,6,1792,,
118,,SHAMANTHRM,1882,6,1750,,
119,,schoenhenz,1566,6,1726,,
120,,mpanty,1750,6,1725,,
121,,shukry,1862,6,1715,,
122,,doodaantapirs,1580,6,1700,,
123,,Jef_2018,1642,6,1695,,
124,,cola1000elo,1878,6,1676,,
125,,AKHILESH9800,1748,6,1635,,
126,,giahuy03022016,1471,6,1619,,
127,,Yaman21,1869,6,1563,,
128,,Athmayogi,1820,6,1555,,
129,,ki_witz,1407,6,1530,,
130,,GambitRedemption,1406,6,1498,,
131,,santanadiego,1402,6,1428,,
132,,rjsrivastava,1316,6,1426,,
133,,superTANYA1,1391,6,1411,,
134,,alfredotorre22,1297,6,1397,,
135,,M_H_Ahmadirad,1569,6,1373,,
136,,YriiGR,1431,6,1322,,
137,,Escandinavo2,1859,5,1607,,
138,,Shigaraminotsuji97,1476,5,1478,,
139,,yannh007,1917,4,2190,,
140,,egon_hubert,1993,4,2050,,
141,,vieveksgamer,1687,4,1945,,
142,,LevPustov,1788,4,1855,,
143,,Yacsama,1773,4,1819,,
144,,Anest87,1859,4,1776,,
145,,JustToyingWithYou,1787,4,1755,,
146,,Psycoreo,1879,4,1755,,
147,,ruilop,1683,4,1750,,
148,,grigorii123,1870,4,1732,,
149,,garrimunozjr,1739,4,1730,,
150,,MANish264,1456,4,1724,,
151,,Rajathegreat2020,1745,4,1715,,
152,,adonis_28,1859,4,1709,,
153,,Derricklombe,1826,4,1707,,
154,,SmartestFool,1550,4,1687,,
155,,hassanshehab,1629,4,1671,,
156,,hhkanokur,1737,4,1667,,
157,,OK_78,1752,4,1642,,
158,,marcymarc24,1547,4,1636,,
159,,hsisa,1795,4,1627,,
160,,ato_salon,1729,4,1623,,
161,,Matviy2017,1863,4,1616,,
162,,MarioDeMonti,1809,4,1614,,
163,,Dikinoff,1805,4,1601,,
164,,banua_halat74,1828,4,1585,,
165,,o-so-so,1920,4,1577,,
166,,edwinkorir,1836,4,1575,,
167,,Ellesmera,1344,4,1571,,
168,,thinking_ahead_of_u,1597,4,1570,,
169,,sergeybasov1957,1772,4,1558,,
170,,Undefvoid,1258,4,1542,,
171,,PAIN-UNDERWORLD,1719,4,1510,,
172,,Andrii_Paluiha,1440,4,1498,,
173,,FTS_BR12,1546,4,1483,,
174,,negro1801,1533,4,1481,,
175,,samettosun,1741,4,1470,,
176,,Kaptown,1195,4,1420,,
177,,SergeyMK,1472,4,1363,,
178,,JorgeGunnar,1552,4,1283,,
179,,Jivaro669,1249,4,1260,,
180,,Toufique,1451,4,1197,,
181,,vinialice18,1977,3,1960,,
182,,chessplayingcorgi,1707,3,1852,,
183,,Ilnazzzz,1847,2,2325,,
184,,ismakif1,1556,2,1957,,
185,,DemiDprofis,1493,2,1944,,
186,,kubu_k,1762,2,1866,,
187,,gauriired,1654,2,1837,,
188,,Oleg_Chess123321,1468,2,1782,,
189,,Mohammed_33,1817,2,1773,,
190,,supericsun,1855,2,1713,,
191,,kotomord,1613,2,1667,,
192,,Pujamsingh,1597,2,1665,,
193,,meherprem,1980,2,1643,,
194,,AntFerHer,1577,2,1635,,
195,,Snipper46,1898,2,1631,,
196,,mahmutp,1880,2,1584,,
197,,Saint-Luvo,1081,2,1577,,
198,,Sushant1999,1746,2,1561,,
199,,iguretz,1539,2,1544,,
200,,LickaSkola,1670,2,1536,,
201,,mlakshmi,1562,2,1534,,
202,,Lord_of_Wales,1588,2,1517,,
203,,muhammm123,1243,2,1496,,
204,,RamailoManxe,1278,2,1477,,
205,,Vasilis211,1875,2,1461,,
206,,andreaslorange,1903,2,1457,,
207,,yemzo001,1843,2,1438,,
208,,Netsaurus,1394,2,1425,,
209,,Istrebitely,1186,2,1421,,
210,,MishaKhankhalaev,1253,2,1412,,
211,,LeshaEboSHu,1592,2,1406,,
212,,devendra376,1665,2,1386,,
213,,cosmologyAerospace,1323,2,1367,,
214,,ZN_76,1715,2,1365,,
215,,wawolnix,1464,2,1363,,
216,,LGudino,1455,2,1359,,
217,,davidking12a,1734,2,1327,,
218,,Leoni13,1284,2,1326,,
219,,Pumat,1482,2,1280,,
220,,cz1974,1884,2,1273,,
221,,Cheesyinsect,1152,2,1247,,
222,,danghuyminh,701,2,1238,,
223,,karthikvalavan,1458,2,1219,,
224,,the_davinilator,1264,2,1170,,
225,,hany1959,1180,2,1161,,
226,,Leeroy-Jenkins,1257,2,1144,,
227,,Cantoy,1480,2,1108,,
228,,koruko5,1321,1,1247,,
229,,Kapakhumagambit,1814,0,,,
230,,ldsnlcf3r,1804,0,,,
231,,Mikesssss,1716,0,,,
232,,AZTGraveYT,1645,0,,,
233,,ARN_MIT,1603,0,,,
234,,PD02666,1573,0,,,
235,,amtoft34,1566,0,,,
236,,HiradShahbazi88,1926,0,1486,,
237,,CrisNguyen,1473,0,,,
238,,Yasserelw,1721,0,1463,,
239,,bradwanaa,1947,0,1448,,
240,,vlobov,1386,0,1412,,
241,,kraashah,1842,0,1368,,
242,,JohnPaul97,1099,0,1348,,
243,,senem36,1851,0,1343,,
244,,zhe2236,1856,0,1340,,
245,,islandbbb,1500,0,1329,,
246,,Ironrage,1782,0,1328,,
247,,AhmedAbdeltwab,1619,0,1314,,
248,,Backbencher,1802,0,1313,,
249,,Game_Ender,1650,0,1308,,
250,,kaankoyuncu7,1757,0,1272,,
251,,ertan03,1079,0,1267,,
252,,aleks6212,1263,0,,,
253,,ARTURMORADI,1754,0,1226,,
254,,beesagoni,1245,0,1201,,
255,,mr__m,1550,0,1200,,
256,,DcoolKnight,1384,0,1171,,
257,,rssounds,1594,0,1113,,
258,,kemikspor,1598,0,1105,,
259,,AryanSilverback,1774,0,1081,,
260,,ccceg,1147,0,1080,,
261,,Jerzyh,1421,0,1076,,
262,,FiLe1984,962,0,1057,,
263,,isagunner,1508,0,1050,,
264,,godevin,1380,0,1036,,
265,,Sergkomers,1712,0,992,,
266,,Rayus,1204,0,984,,
267,,bongswabe14,1361,0,981,,
268,,camiloreli,934,0,976,,
269,,frail_ego,1405,0,961,,
270,,AbrAKadabRa_12,960,0,,,
271,,BattleLord,1218,0,909,,
272,,TheBards,1750,0,884,,
273,,E_M_07,947,0,835,,
274,,PiasanYuro2025,1177,0,834,,
275,,Medsalim,1613,0,808,,
276,,Oxstatus,1371,0,791,,
277,,michstery,1360,0,759,,
278,,resirrr,1503,0,754,,
279,,kortar,1414,0,729,,
280,,NIHARKKOLLAM,1377,0,177,,
